English;Swedish;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
aback;en rygg;0;0;0;0;0;0;0;0;0;0
abacus;kulram;0;0;0;0;0;0;0;0;0;1
abandon;överge;0;1;0;0;0;1;0;1;0;0
abandoned;övergiven;0;1;1;0;0;1;0;1;0;0
abandonment;övergivenhet;0;1;1;0;0;1;0;1;1;0
abate;avta;0;0;0;0;0;0;0;0;0;0
abatement;minskning;0;0;0;0;0;0;0;0;0;0
abba;abba;1;0;0;0;0;0;0;0;0;0
abbot;abbot;0;0;0;0;0;0;0;0;0;1
abbreviate;förkorta;0;0;0;0;0;0;0;0;0;0
abbreviation;förkortning;0;0;0;0;0;0;0;0;0;0
abdomen;buk;0;0;0;0;0;0;0;0;0;0
abdominal;abdominal;0;0;0;0;0;0;0;0;0;0
abduction;bortförande;0;1;0;0;0;1;0;1;1;0
aberrant;abnorm;0;1;0;0;0;0;0;0;0;0
aberration;villfarelse;0;1;0;0;1;0;0;0;0;0
abeyance;vilande;0;0;0;0;0;0;0;0;0;0
abhor;avsky;0;1;1;0;1;1;0;0;0;0
abhorrent;motbjudande;0;1;1;0;1;1;0;0;0;0
abide;vistas;0;0;0;0;0;0;0;0;0;0
ability;förmåga;1;0;0;0;0;0;0;0;0;0
abject;extrem;0;1;0;0;1;0;0;0;0;0
ablation;ablation;0;0;0;0;0;0;0;0;0;0
ablaze;i lågor;0;0;0;0;0;0;0;0;0;0
abnormal;onormal;0;1;0;0;1;0;0;0;0;0
aboard;ombord;0;0;0;0;0;0;0;0;0;0
abode;boning;0;0;0;0;0;0;0;0;0;0
abolish;avskaffa;0;1;1;0;0;0;0;0;0;0
abolition;avskaffande;0;1;0;0;0;0;0;0;0;0
abominable;avskyvärd;0;1;0;0;1;1;0;0;0;0
abomination;avsky;0;1;1;0;1;1;0;0;0;0
aboriginal;ursprunglig;0;0;0;0;0;0;0;0;0;0
abort;abortera;0;1;0;0;0;0;0;0;0;0
abortion;abort;0;1;0;0;1;1;0;1;0;0
abortive;misslyckad;0;1;0;0;0;0;0;1;0;0
